<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<TICKER>
2024-01-10T00:00:00.000000000,46110.0,47695.93,44300.36,46653.99,89911.41203,BTC/USDT
2024-01-11T00:00:00.000000000,46654.0,48969.48,45606.06,46339.16,87470.3296,BTC/USDT
2024-01-12T00:00:00.000000000,46339.16,46515.53,41500.0,42782.73,86327.93707,BTC/USDT
2024-01-13T00:00:00.000000000,42782.74,43257.0,42436.12,42847.99,36118.47464,BTC/USDT
2024-01-14T00:00:00.000000000,42847.99,43079.0,41720.0,41732.35,28228.40894,BTC/USDT
2024-01-15T00:00:00.000000000,41732.35,43400.43,41718.05,42511.1,40269.89303,BTC/USDT
2024-01-16T00:00:00.000000000,42511.1,43578.01,42050.0,43137.95,45045.74589,BTC/USDT
2024-01-17T00:00:00.000000000,43137.94,43198.0,42200.69,42776.1,33266.21388,BTC/USDT
2024-01-18T00:00:00.000000000,42776.09,42930.0,40683.28,41327.5,43907.51641,BTC/USDT
2024-01-19T00:00:00.000000000,41327.51,42196.86,40280.0,41659.03,48342.74559,BTC/USDT
2024-01-20T00:00:00.000000000,41659.03,41872.56,41456.3,41696.04,15923.99493,BTC/USDT
2024-01-21T00:00:00.000000000,41696.05,41881.39,41500.98,41580.33,11730.16301,BTC/USDT
2024-01-22T00:00:00.000000000,41580.32,41689.65,39431.58,39568.02,55426.19911,BTC/USDT
2024-01-23T00:00:00.000000000,39568.02,40176.74,38555.0,39897.6,57956.63351,BTC/USDT
2024-01-24T00:00:00.000000000,39897.59,40555.0,39484.19,40084.88,39293.82861,BTC/USDT
2024-01-25T00:00:00.000000000,40084.89,40300.24,39550.0,39961.09,31022.11853,BTC/USDT
2024-01-26T00:00:00.000000000,39961.09,42246.82,39822.52,41823.51,47384.96726,BTC/USDT
2024-01-27T00:00:00.000000000,41823.51,42200.0,41394.34,42120.63,16224.41667,BTC/USDT
2024-01-28T00:00:00.000000000,42120.63,42842.68,41620.81,42031.06,27294.99838,BTC/USDT
2024-01-29T00:00:00.000000000,42031.05,43333.0,41804.88,43302.7,31542.74207,BTC/USDT
2024-01-30T00:00:00.000000000,43302.71,43882.36,42683.99,42941.1,37619.24546,BTC/USDT
2024-01-31T00:00:00.000000000,42941.1,43745.11,42276.84,42580.0,39871.13688,BTC/USDT
2024-02-01T00:00:00.000000000,42580.0,43285.13,41884.28,43082.94,35231.04664,BTC/USDT
2024-02-02T00:00:00.000000000,43082.95,43488.0,42546.79,43200.0,29672.14418,BTC/USDT
2024-02-03T00:00:00.000000000,43199.99,43380.01,42880.0,43011.09,12033.40998,BTC/USDT
2024-02-04T00:00:00.000000000,43011.1,43119.04,42222.0,42582.88,17066.89404,BTC/USDT
2024-02-05T00:00:00.000000000,42582.88,43569.76,42258.1,42708.7,29467.75905,BTC/USDT
